,возраст,профессия,семейное_положение,образование,кредит_дефолт,жилищный_кредит,кредит,взаимодействие,контакт_месяц,контакт_день_недели,контакт_количество,контакт_период,контакт_прошлый_количество,контакт_прошлый_исход,контакт_исход,Id
163,36,сфера услуг,женат/замужем,среднее,0,1,0,мобильный,5,чт,2,999,0,-,0,163
164,56,администриратор,женат/замужем,высшее,0,0,0,домашний,7,пт,9,999,0,-,0,164
165,53,сфера услуг,женат/замужем,неоконченное среднее,N/A,0,0,мобильный,8,пн,1,999,0,-,0,165
166,38,рабочий,женат/замужем,неоконченное среднее,0,0,0,домашний,5,чт,1,999,0,-,0,166
167,56,предприниматель,женат/замужем,высшее,0,1,0,домашний,5,чт,4,999,0,-,0,167
168,32,техник/механик,женат/замужем,специальное,0,0,0,мобильный,8,чт,1,999,0,-,0,168
169,25,техник/механик,женат/замужем,специальное,0,1,0,мобильный,6,чт,4,999,1,0,1,169
170,58,пенсионер,женат/замужем,неоконченное среднее,0,1,0,домашний,6,чт,1,999,0,-,0,170
171,60,пенсионер,женат/замужем,высшее,0,0,0,мобильный,8,ср,2,999,0,-,0,171
172,47,администриратор,женат/замужем,высшее,0,1,1,мобильный,6,чт,1,999,0,-,0,172
173,38,безработный,женат/замужем,среднее,0,0,0,мобильный,7,пн,5,999,0,-,0,173
174,27,N/A,не женат/не замужем,высшее,0,0,0,мобильный,3,чт,1,999,0,-,0,174
175,34,рабочий,женат/замужем,среднее,0,1,0,домашний,5,пт,2,999,0,-,0,175
176,27,администриратор,женат/замужем,высшее,0,N/A,N/A,мобильный,7,пт,1,999,0,-,0,176
177,58,менеджмент,разведен,высшее,0,1,0,мобильный,7,ср,4,999,0,-,0,177
178,24,техник/механик,не женат/не замужем,специальное,N/A,0,0,домашний,5,пн,4,999,0,-,0,178
179,52,администриратор,женат/замужем,N/A,0,0,0,домашний,9,чт,13,14,2,0,0,179
180,44,администриратор,не женат/не замужем,среднее,0,0,0,домашний,5,ср,3,999,0,-,0,180
181,33,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,8,вт,3,999,0,-,0,181
182,42,N/A,не женат/не замужем,высшее,N/A,1,0,мобильный,7,пн,3,999,0,-,0,182
183,45,рабочий,разведен,неоконченное среднее,0,1,0,мобильный,7,ср,1,999,0,-,0,183
184,41,администриратор,не женат/не замужем,высшее,0,1,1,домашний,6,ср,5,999,0,-,0,184
185,39,домохозяйка,женат/замужем,неоконченное среднее,0,1,0,мобильный,7,пн,1,999,0,-,0,185
186,58,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,5,пт,2,999,1,0,0,186
187,60,пенсионер,женат/замужем,неоконченное среднее,0,0,0,мобильный,7,чт,1,999,0,-,0,187
188,24,N/A,не женат/не замужем,высшее,0,0,0,мобильный,6,чт,1,3,2,1,1,188
189,33,администриратор,не женат/не замужем,среднее,0,1,0,мобильный,5,вт,1,999,0,-,0,189
190,35,учащийся,не женат/не замужем,высшее,N/A,0,0,домашний,5,вт,1,999,0,-,0,190
191,36,рабочий,не женат/не замужем,неоконченное среднее,N/A,1,0,мобильный,7,пн,8,999,0,-,0,191
192,30,администриратор,не женат/не замужем,специальное,0,1,1,мобильный,5,вт,1,999,1,0,0,192
193,43,администриратор,женат/замужем,высшее,0,1,0,мобильный,4,вт,2,999,0,-,0,193
194,33,рабочий,женат/замужем,среднее,0,1,0,мобильный,6,пн,2,999,0,-,0,194
195,48,рабочий,женат/замужем,неоконченное среднее,N/A,1,1,мобильный,4,вт,2,999,0,-,0,195
196,46,самозанятый,разведен,среднее,0,0,0,мобильный,9,пт,2,999,1,0,1,196
197,34,администриратор,женат/замужем,высшее,N/A,1,0,мобильный,8,ср,1,999,0,-,0,197
198,35,рабочий,не женат/не замужем,неоконченное среднее,0,1,0,мобильный,5,пт,2,999,0,-,0,198
199,48,предприниматель,женат/замужем,неоконченное среднее,0,1,0,домашний,7,вт,1,999,0,-,0,199
200,36,администриратор,женат/замужем,среднее,0,0,0,мобильный,4,пн,1,999,0,-,0,200
201,39,администриратор,женат/замужем,неоконченное среднее,N/A,0,0,мобильный,8,вт,2,999,0,-,0,201
202,37,администриратор,женат/замужем,среднее,0,1,0,домашний,5,пн,4,999,0,-,0,202
203,47,рабочий,женат/замужем,неоконченное среднее,0,N/A,N/A,домашний,5,пн,8,999,0,-,0,203
204,33,рабочий,не женат/не замужем,среднее,0,1,1,домашний,5,вт,7,999,1,0,0,204
205,27,техник/механик,женат/замужем,неоконченное среднее,0,0,1,домашний,5,чт,2,999,0,-,0,205
206,24,техник/механик,не женат/не замужем,неоконченное среднее,0,1,0,мобильный,5,пн,6,999,0,-,0,206
207,53,техник/механик,женат/замужем,высшее,0,1,0,мобильный,11,пн,1,999,0,-,0,207
208,33,техник/механик,женат/замужем,специальное,N/A,1,0,мобильный,8,ср,1,999,0,-,0,208
209,28,администриратор,женат/замужем,высшее,0,0,0,мобильный,8,пт,4,999,0,-,0,209
210,51,рабочий,женат/замужем,неоконченное среднее,0,1,0,домашний,5,пт,4,999,0,-,0,210
211,52,пенсионер,женат/замужем,высшее,0,1,0,домашний,6,пт,12,999,0,-,0,211
212,30,администриратор,разведен,среднее,0,1,0,домашний,6,пн,2,999,0,-,0,212
213,47,рабочий,женат/замужем,неоконченное среднее,0,1,0,мобильный,8,чт,2,999,0,-,0,213
214,34,сфера услуг,женат/замужем,неоконченное среднее,0,0,0,домашний,6,вт,1,999,0,-,0,214
215,31,рабочий,женат/замужем,неоконченное среднее,N/A,0,0,домашний,5,вт,1,999,0,-,0,215
216,28,рабочий,не женат/не замужем,среднее,0,0,0,мобильный,7,чт,1,999,0,-,0,216
217,41,техник/механик,женат/замужем,высшее,0,0,0,мобильный,11,пн,2,999,0,-,0,217
218,44,менеджмент,женат/замужем,среднее,0,1,0,домашний,5,пт,3,999,0,-,0,218
219,33,менеджмент,не женат/не замужем,неоконченное среднее,0,1,0,мобильный,7,вт,1,999,0,-,0,219
220,38,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,11,вт,5,999,1,0,0,220
221,54,сфера услуг,женат/замужем,среднее,N/A,0,1,мобильный,7,вт,1,999,0,-,0,221
222,46,администриратор,женат/замужем,высшее,N/A,1,0,мобильный,8,ср,9,999,0,-,0,222
223,37,техник/механик,женат/замужем,высшее,0,1,0,мобильный,5,чт,3,999,0,-,0,223
224,29,администриратор,не женат/не замужем,среднее,0,0,0,мобильный,8,пт,1,999,2,0,0,224
225,32,учащийся,не женат/не замужем,высшее,0,0,0,мобильный,11,ср,1,999,0,-,0,225
226,32,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,5,пт,1,999,1,0,0,226
227,38,администриратор,женат/замужем,неоконченное среднее,0,1,0,мобильный,7,вт,3,999,0,-,0,227
228,40,безработный,женат/замужем,неоконченное среднее,N/A,1,0,мобильный,7,пн,2,999,0,-,0,228
229,28,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,9,пт,1,1,3,1,1,229
230,35,администриратор,женат/замужем,среднее,0,1,0,мобильный,3,чт,3,999,0,-,1,230
231,39,техник/механик,не женат/не замужем,специальное,0,0,0,мобильный,8,пн,1,999,0,-,0,231
232,34,безработный,женат/замужем,N/A,0,1,0,домашний,5,пт,3,999,0,-,0,232
233,32,техник/механик,женат/замужем,специальное,0,1,1,домашний,11,ср,3,999,1,0,0,233
234,44,администриратор,разведен,высшее,0,1,1,мобильный,6,чт,1,999,0,-,0,234
235,33,сфера услуг,женат/замужем,среднее,0,0,0,мобильный,5,чт,1,999,0,-,0,235
236,42,домохозяйка,не женат/не замужем,неоконченное среднее,0,1,0,домашний,5,пт,3,999,0,-,0,236
237,31,администриратор,женат/замужем,среднее,0,1,0,мобильный,5,пт,5,999,0,-,0,237
238,50,администриратор,женат/замужем,среднее,0,0,0,мобильный,11,чт,3,999,0,-,0,238
239,37,техник/механик,женат/замужем,неоконченное среднее,0,0,0,домашний,5,пт,3,999,0,-,0,239
240,38,рабочий,женат/замужем,среднее,N/A,0,0,домашний,6,вт,5,999,0,-,0,240
241,44,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,5,вт,4,999,0,-,0,241
242,36,администриратор,не женат/не замужем,среднее,0,1,0,мобильный,8,чт,1,999,0,-,0,242
243,51,техник/механик,женат/замужем,специальное,0,1,0,мобильный,11,вт,1,999,0,-,0,243
244,31,техник/механик,женат/замужем,специальное,0,0,0,мобильный,8,вт,1,999,0,-,0,244
245,50,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,5,пн,1,9,1,1,1,245
246,58,пенсионер,разведен,специальное,0,0,0,мобильный,7,чт,24,999,0,-,0,246
247,39,домохозяйка,женат/замужем,неоконченное среднее,N/A,0,0,домашний,5,ср,12,999,0,-,0,247
248,50,техник/механик,женат/замужем,высшее,0,1,0,мобильный,3,пт,1,999,0,-,1,248
249,46,самозанятый,женат/замужем,неоконченное среднее,0,1,1,мобильный,11,чт,1,999,1,0,0,249
250,31,домохозяйка,женат/замужем,неоконченное среднее,N/A,1,0,домашний,6,ср,4,999,0,-,0,250
251,28,техник/механик,не женат/не замужем,среднее,0,1,0,мобильный,7,чт,1,999,0,-,0,251
252,45,администриратор,женат/замужем,N/A,N/A,0,0,мобильный,7,вт,1,999,0,-,0,252
253,30,техник/механик,женат/замужем,специальное,0,1,0,мобильный,11,чт,1,999,0,-,0,253
254,31,техник/механик,женат/замужем,высшее,0,1,0,мобильный,8,вт,4,999,0,-,0,254
255,38,техник/механик,не женат/не замужем,специальное,N/A,0,0,мобильный,11,пт,1,999,0,-,0,255
256,70,пенсионер,женат/замужем,неоконченное среднее,0,1,0,мобильный,10,чт,2,999,0,-,0,256
257,52,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,домашний,6,чт,1,999,0,-,0,257
258,38,рабочий,женат/замужем,N/A,0,1,0,домашний,5,пн,1,999,0,-,0,258
259,32,техник/механик,женат/замужем,специальное,0,1,0,мобильный,8,вт,7,999,0,-,0,259
260,30,техник/механик,не женат/не замужем,высшее,N/A,0,0,мобильный,8,вт,1,999,0,-,0,260
261,33,техник/механик,женат/замужем,высшее,N/A,1,0,мобильный,8,пн,7,999,0,-,0,261
262,53,сфера услуг,женат/замужем,среднее,0,1,0,мобильный,8,ср,1,999,0,-,1,262
263,31,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,7,пн,2,999,0,-,0,263
264,47,техник/механик,женат/замужем,специальное,N/A,0,0,мобильный,7,чт,1,999,0,-,0,264
265,36,менеджмент,женат/замужем,высшее,0,1,0,домашний,5,чт,1,999,0,-,0,265
266,28,самозанятый,не женат/не замужем,высшее,0,1,0,мобильный,11,вт,2,6,3,1,0,266
267,25,сфера услуг,женат/замужем,среднее,0,0,0,мобильный,7,чт,1,999,0,-,0,267
268,55,техник/механик,не женат/не замужем,специальное,0,1,1,мобильный,3,пн,2,999,0,-,1,268
269,43,сфера услуг,женат/замужем,среднее,0,0,0,домашний,5,чт,1,999,0,-,0,269
270,59,пенсионер,разведен,специальное,0,0,0,домашний,5,пн,1,999,0,-,0,270
271,45,самозанятый,женат/замужем,неоконченное среднее,0,1,1,мобильный,8,вт,2,999,0,-,0,271
